id,nome,followers,random
1,A,10.0,RNDM
2,B,20.0,RNDM
3,C,30.0,RNDM
4,D,40.0,RNDM
5,E,50.0,RNDM
6,F,60.0,RNDM
7,G,70.0,RNDM
8,H,80.0,RNDM
9,I,90.0,RNDM
10,L,100.0,RNDM















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































